Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Cluster,PC1,PC2
Canada,2018,9525.38,42301.43,13.7,70.47,45.18,19.96,3766.11,0.12,0,1.010705572895297,-0.004760777768435232
Germany,2020,7922.08,36601.38,33.63,41.95,34.32,22.27,2713.12,0.08,0,0.5076314851614153,-0.48266514623040263
Russia,2002,6630.01,41670.2,10.82,39.32,53.66,26.44,885.98,0.26,0,0.4026413806986494,1.27710697204982
Brazil,2010,8580.19,10969.58,73.24,16.71,30.55,27.6,1144.11,0.47,1,0.8962517455785777,0.538674887325277
Canada,2006,848.88,32190.85,73.6,74.86,42.39,23.43,842.39,0.48,1,-2.22353241579529,1.164062561260518
UK,2016,4682.02,2491.92,40.47,69.06,20.07,23.39,2242.11,0.35,2,0.45626492729341267,-0.3889360946569622
India,2024,9893.64,3912.56,27.07,31.7,57.59,18.56,3626.5,0.13,2,2.3835081266442146,-1.4080729482034051
Canada,2008,7719.04,35819.59,15.03,62.73,57.93,21.51,3808.66,0.05,0,0.8036317674493162,-0.6504791385590327
Russia,2020,9624.55,1708.8,77.36,63.39,48.42,24.01,525.95,0.2,0,0.5159640404487769,-1.5280167267588711
Brazil,2008,7818.38,29198.37,79.59,25.95,36.93,27.93,2504.76,0.11,2,-0.10268443447342065,-1.1243913030444408
Germany,2009,8761.33,42100.05,27.63,52.96,27.14,13.92,2433.13,0.39,1,0.7168465452816631,1.5759822512846426
Russia,2012,7094.64,19307.12,57.85,27.85,39.7,32.92,2222.49,0.49,1,0.6939098152483753,0.9963156214947215
Russia,2014,7628.97,2719.6,26.99,65.29,51.66,30.42,1541.02,0.09,0,1.158087868776164,-1.5756654753686363
India,2021,5279.46,35835.45,24.14,20.77,44.21,18.96,2405.25,0.23,1,0.415095854346719,0.5900401784243883
Australia,2004,9249.95,46519.48,6.8,56.82,41.1,23.78,2607.2,0.46,1,1.1737662215003335,2.392279593293905
Brazil,2002,8267.89,35999.98,54.06,32.82,53.98,38.41,3018.5,0.38,2,0.537716190137008,0.9386087254245701
China,2007,8454.46,29133.14,17.75,12.53,32.53,10.61,1917.96,0.44,1,1.6481073715282901,1.731125002601022
Russia,2019,6762.79,11886.43,6.05,18.66,54.4,34.34,4728.25,0.47,2,2.4334227143231635,1.035610726659906
Australia,2009,3115.34,1261.09,13.91,55.84,37.58,25.35,1727.25,0.24,1,0.6801867186612752,-0.5957589518138033
